Building IRN,Building Name,District IRN,District Name,County,Region,Address,City and Zip Code,Phone #,9,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark,,
000138,Pathway School of Discovery,000138,Pathway School of Discovery,Montgomery,Region 10,173 Avondale Dr,"Dayton, OH, 45404-2123",(937) 235-5498,Keith B. Colbert,79.490,66.2,D,0.0,23.5,20.2,26.5,19.3,10.4,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.690,82.389,,,000138
000139,Alliance Academy of Cincinnati,000139,Alliance Academy of Cincinnati,Hamilton,Region 13,1712 Duck Creek Rd,"Cincinnati, OH, 45207-1644",(513) 751-5555,Elizabeth L. King,64.585,53.8,D,0.0,36.1,29.7,20.8,9.5,3.8,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.718,76.309,,,000139
000222,Wildwood Environmental Academy,000222,Wildwood Environmental Academy,Lucas,Region 1,1546 Dartford Rd,"Maumee, OH, 43537-1374",(419) 868-9885,Elizabeth A. Lewin,74.046,61.7,D,0.2,28.6,22.9,23.9,14.5,9.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.092,80.319,,,000222
000236,"Ohio Connections Academy, Inc",000236,"Ohio Connections Academy, Inc",Cuyahoga,Region 11,3740 Euclid Ave Ste 101,"Cleveland, OH, 44115-2229",(513) 486-9120,,77.619,64.7,D,1.6,22.3,21.8,27.7,17.6,9.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.331,87.464,,,000236
000241,Quaker Digital Academy,044487,New Philadelphia City,Tuscarawas,Region 12,248 Front Ave SW,"New Philadelphia, OH, 44663-2150",(330) 364-0618,Stephen C. Eckert,65.397,54.5,D,5.5,31.1,24.4,20.9,12.2,5.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NC,NC,,,000241
000296,Summit Academy Community School-Columbus,000296,Summit Academy Community School-Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 100,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,56.000,46.7,F,0.0,58.3,13.3,15.0,5.0,8.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.188,58.700,,,000296
000297,Summit Academy Community School - Dayton,000297,Summit Academy Community School - Dayton,Montgomery,Region 10,4128 Cedar Ridge Rd,"Dayton, OH, 45414-3908",(937) 278-4298,Megan E. Fagan,55.891,46.6,F,0.4,51.6,22.9,14.0,7.4,3.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.684,62.679,,,000297
000298,Summit Academy Secondary - Akron,000298,Summit Academy Secondary - Akron,Summit,Region 8,464 S Hawkins Ave,"Akron, OH, 44320-1228",(330) 434-2343,Ralph E. Grant,61.400,51.2,D,0.0,37.0,35.0,17.0,9.0,2.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.706,54.762,,,000298
000300,Summit Academy Secondary - Canton,000300,Summit Academy Secondary - Canton,Stark,Region 9,2400 Cleveland Ave NW,"Canton, OH, 44709-3613",(330) 453-8547,Lisa M. Cook,45.747,38.1,F,5.7,54.0,27.6,9.2,3.4,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.289,70.128,,,000300
000301,Summit Academy Secondary - Lorain,000301,Summit Academy Secondary - Lorain,Lorain,Region 2,301 Collingwood Blvd,"Toledo, OH, 43604-2134",(419) 243-1815,,42.963,35.8,F,5.6,61.1,22.2,9.3,1.9,0.0,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.068,62.632,,,000301
000302,Summit Academy Community School-Parma,000302,Summit Academy Community School-Parma,Cuyahoga,Region 3,5868 Stumph Rd,"Parma, OH, 44130-1736",(440) 888-5407,Charlotte A. Ray,62.196,51.8,D,0.0,42.1,25.8,17.5,8.9,5.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.053,64.522,,,000302
000303,Summit Academy Secondary - Youngstown,000303,Summit Academy Secondary - Youngstown,Mahoning,Region 5,2800 Shady Run Rd,"Youngstown, OH, 44502-2770",(234) 228-8235,Kevin L. Sheely,43.974,36.6,F,2.2,69.9,14.0,9.2,3.1,1.7,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.194,51.930,,,000303
000304,Summit Academy Community School-Toledo,000304,Summit Academy Community School-Toledo,Lucas,Region 1,1853 South Ave,"Toledo, OH, 43609-2086",(419) 385-5730,Julie A. Kadri,55.414,46.2,F,0.0,58.6,14.3,12.8,6.8,7.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.573,55.106,,,000304
000305,Summit Academy Community School-Warren,000305,Summit Academy Community School-Warren,Trumbull,Region 5,2106 Arbor Ave SE,"Warren, OH, 44484-5225",(330) 369-4233,Allison R. Glass,57.744,48.1,F,0.0,50.3,21.0,19.0,6.2,3.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.072,53.404,,,000305
000306,Summit Academy Community School - Cincinnati,000306,Summit Academy Community School - Cincinnati,Hamilton,Region 13,1660 Sternblock Ln,"Cincinnati, OH, 45237-3805",(513) 321-0561,Donna J. Fields,53.503,44.6,F,0.0,58.4,17.8,12.7,7.6,3.6,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.304,55.115,,,000306
000311,Bridges Community Academy,000311,Bridges Community Academy,Seneca,Region 7,190 St Francis Ave,"Tiffin, OH, 44883-3475",(419) 455-9295,Catherine M. Smith,55.809,46.5,F,0.0,51.5,23.2,15.4,8.7,1.2,0.0,NC,NC,0.0,0.0,100.0,0.0,0.0,0.0,0.0,61.775,67.278,,,000311
000316,Constellation Schools: Westpark Community Middle,000316,Constellation Schools: Westpark Community Middle,Cuyahoga,Region 3,5730 Broadview Rd,"Parma, OH, 44134-1602",(216) 251-7200,Mindy D. Kidd,78.692,65.6,D,0.2,21.3,23.9,29.1,17.2,8.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.605,77.195,,,000316
000318,Menlo Park Academy,043786,Cleveland Municipal,Cuyahoga,Region 3,14440 Triskett Rd,"Cleveland, OH, 44111-2263",(440) 925-6365,,106.422,88.7,B,0.0,1.9,8.5,19.9,32.2,32.5,4.9,106.422,88.7,0.0,1.9,8.5,19.9,32.2,32.5,4.9,110.760,100.920,,,000318
000319,Constellation Schools: Madison Community Elementary,000319,Constellation Schools: Madison Community Elementary,Cuyahoga,Region 3,2015 W 95th St,"Cleveland, OH, 44102-3727",(216) 651-5212,Louis A. Marconi,57.856,48.2,F,0.0,46.8,26.3,17.7,7.0,2.2,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.874,70.390,,,000319
