,city,country,cloudiness,date,humidity,lat,lon,temp_max,wind_speed
0,morti,,,,,,,,
1,provideniya,RU,92,1537551409,100,64.42,-173.23,45.64,21.97
2,rikitea,PF,92,1537551370,100,-23.12,-134.97,68.41,6.2
3,sabang,PH,80,1537551773,97,13.72,123.58,79.12,3.62
4,chokurdakh,RU,92,1537551370,96,70.62,147.9,36.46,3.4
5,alotau,,,,,,,,
6,acapulco,MX,75,1537548240,70,16.86,-99.88,86,3.36
7,grants,US,1,1537550100,29,35.15,-107.85,69.98,8.05
8,ramsar,IR,20,1537549200,83,36.92,50.64,71.6,2.24
9,hilo,US,90,1537548780,81,19.71,-155.08,73.94,6.93
10,bethel,US,90,1537548780,96,60.79,-161.76,46.94,11.41
11,kupang,ID,12,1537551501,89,-10.16,123.6,78.85,11.68
12,comodoro rivadavia,AR,40,1537549200,87,-45.87,-67.48,42.8,4.7
13,roma,IT,40,1537548900,94,41.89,12.48,78.8,3.51
14,ushuaia,AR,75,1537549200,81,-54.81,-68.31,32,13.87
15,barentsburg,,,,,,,,
16,deputatskiy,RU,68,1537551775,83,69.3,139.9,23.23,2.73
17,yellowknife,CA,75,1537545600,100,62.45,-114.38,32,6.93
18,kapaa,US,40,1537548960,100,22.08,-159.32,77,11.41
19,cabo san lucas,MX,20,1537548240,74,22.89,-109.91,86,3.36
20,atuona,PF,64,1537551375,100,-9.8,-139.03,78.04,7.43
21,jamestown,AU,0,1537551367,82,-33.21,138.6,40.69,3.06
22,carnarvon,ZA,0,1537551417,15,-30.97,22.13,47.62,7.2
23,ha tinh,VN,0,1537551776,100,18.33,105.9,83.89,2.95
24,kasempa,ZM,0,1537551776,31,-13.46,25.83,73.36,6.08
25,dmitriyevka,GE,0,1537551776,100,43.08,41,59.32,1.61
26,bredasdorp,ZA,0,1537549200,62,-34.53,20.04,57.2,11.41
27,kahului,US,20,1537548960,90,20.89,-156.47,77,4.7
28,aklavik,CA,75,1537545600,74,68.22,-135.01,35.6,8.05
29,saint george,GR,20,1537548600,60,39.45,22.34,73.4,5.82
30,micheweni,TZ,8,1537551777,99,-4.97,39.83,78.22,15.48
31,trat,TH,24,1537551777,100,12.25,102.51,78.22,3.74
32,chuy,UY,12,1537551407,83,-33.69,-53.46,73,12.57
33,bluff,AU,0,1537551371,69,-23.58,149.07,59.05,10.78
34,hermanus,ZA,0,1537551416,89,-34.42,19.24,47.71,3.62
35,marystown,CA,0,1537551777,80,47.17,-55.16,52.12,3.74
36,bahar,IR,0,1537551778,43,34.91,48.44,52.03,3.62
37,ixtapa,MX,40,1537548360,59,20.71,-105.21,89.6,2.73
38,buala,SB,88,1537551433,97,-8.15,159.59,79.48,3.62
39,yar-sale,RU,0,1537551540,97,66.83,70.83,47.26,11.45
40,tiksi,RU,0,1537551373,99,71.64,128.87,25.75,8.88
41,falealupo,,,,,,,,
42,isangel,VU,0,1537551441,100,-19.55,169.27,70.75,14.25
43,houma,CN,0,1537551495,70,35.63,111.36,45.73,1.16
44,busselton,AU,64,1537551366,100,-33.64,115.35,54.19,11.56
45,marsaxlokk,MT,20,1537548300,65,35.84,14.54,78.8,5.82
46,upernavik,GL,0,1537551365,100,72.79,-56.15,30.43,6.2
47,touros,BR,0,1537551497,62,-5.2,-35.46,84.43,18.16
48,tuktoyaktuk,CA,20,1537545600,92,69.44,-133.03,32,13.87
49,mocambique,,,,,,,,
50,swan river,CA,44,1537551809,80,52.11,-101.27,40.78,3.74
51,ulaangom,MN,0,1537551809,72,49.98,92.07,24.13,1.5
52,attawapiskat,,,,,,,,
53,nanortalik,GL,88,1537551371,98,60.14,-45.24,37.45,11.79
54,hami,CN,0,1537551541,44,42.84,93.51,51.67,5.3
55,saskylakh,RU,92,1537551417,96,71.97,114.09,41.86,10
56,punta arenas,CL,75,1537549200,60,-53.16,-70.91,42.8,10.29
57,thompson,CA,75,1537548060,59,55.74,-97.86,37.4,10.29
58,mersin,TR,20,1537548600,74,36.81,34.63,80.6,5.82
59,khonuu,,,,,,,,
60,antofagasta,CL,20,1537549200,52,-23.65,-70.4,68,8.05
61,avarua,CK,75,1537549200,64,-21.21,-159.78,73.4,12.75
62,martapura,ID,0,1537551811,99,-3.41,114.85,75.25,6.31
63,kaitangata,NZ,24,1537551375,77,-46.28,169.85,39.88,5.86
64,cam ranh,VN,32,1537551811,100,11.92,109.15,78.13,1.95
65,castro,CL,92,1537551416,100,-42.48,-73.76,47.62,11.68
66,stromness,CA,1,1537548840,57,42.87,-79.55,87.08,21.92
