Building IRN,Building Name,District IRN,District Name,County,Region,Address,City and Zip Code,Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark,,
138,Pathway School of Discovery,138,Pathway School of Discovery,Montgomery,Region 10,173 Avondale Dr,"Dayton, OH, 45404-2123",(937) 235-5498,Keith B. Colbert,79.49,66.2,D,0,23.5,20.2,26.5,19.3,10.4,0,0,0,0,0,0,0,0,0,0,74.69,82.389,,,138
139,Alliance Academy of Cincinnati,139,Alliance Academy of Cincinnati,Hamilton,Region 13,1712 Duck Creek Rd,"Cincinnati, OH, 45207-1644",(513) 751-5555,Elizabeth L. King,64.585,53.8,D,0,36.1,29.7,20.8,9.5,3.8,0,0,0,0,0,0,0,0,0,0,56.718,76.309,,,139
222,Wildwood Environmental Academy,222,Wildwood Environmental Academy,Lucas,Region 1,1546 Dartford Rd,"Maumee, OH, 43537-1374",(419) 868-9885,Elizabeth A. Lewin,74.046,61.7,D,0.2,28.6,22.9,23.9,14.5,9.9,0,0,0,0,0,0,0,0,0,0,74.092,80.319,,,222
236,"Ohio Connections Academy, Inc",236,"Ohio Connections Academy, Inc",Cuyahoga,Region 11,3740 Euclid Ave Ste 101,"Cleveland, OH, 44115-2229",(513) 486-9120,,77.619,64.7,D,1.6,22.3,21.8,27.7,17.6,9,0,0,0,0,0,0,0,0,0,0,80.331,87.464,,,236
241,Quaker Digital Academy,44487,New Philadelphia City,Tuscarawas,Region 12,248 Front Ave SW,"New Philadelphia, OH, 44663-2150",(330) 364-0618,Stephen C. Eckert,65.397,54.5,D,5.5,31.1,24.4,20.9,12.2,5.9,0,0,0,0,0,0,0,0,0,0,NC,NC,,,241
296,Summit Academy Community School-Columbus,296,Summit Academy Community School-Columbus,Franklin,Region 11,2521 Fairwood Ave Ste 100,"Columbus, OH, 43207-2712",(614) 237-5497,Cheryl L. Elliott,56,46.7,F,0,58.3,13.3,15,5,8.3,0,0,0,0,0,0,0,0,0,0,53.188,58.7,,,296
297,Summit Academy Community School - Dayton,297,Summit Academy Community School - Dayton,Montgomery,Region 10,4128 Cedar Ridge Rd,"Dayton, OH, 45414-3908",(937) 278-4298,Megan E. Fagan,55.891,46.6,F,0.4,51.6,22.9,14,7.4,3.9,0,0,0,0,0,0,0,0,0,0,52.684,62.679,,,297
298,Summit Academy Secondary - Akron,298,Summit Academy Secondary - Akron,Summit,Region 8,464 S Hawkins Ave,"Akron, OH, 44320-1228",(330) 434-2343,Ralph E. Grant,61.4,51.2,D,0,37,35,17,9,2,0,0,0,0,0,0,0,0,0,0,49.706,54.762,,,298
300,Summit Academy Secondary - Canton,300,Summit Academy Secondary - Canton,Stark,Region 9,2400 Cleveland Ave NW,"Canton, OH, 44709-3613",(330) 453-8547,Lisa M. Cook,45.747,38.1,F,5.7,54,27.6,9.2,3.4,0,0,0,0,0,0,0,0,0,0,0,53.289,70.128,,,300
301,Summit Academy Secondary - Lorain,301,Summit Academy Secondary - Lorain,Lorain,Region 2,301 Collingwood Blvd,"Toledo, OH, 43604-2134",(419) 243-1815,,42.963,35.8,F,5.6,61.1,22.2,9.3,1.9,0,0,0,0,0,0,0,0,0,0,0,48.068,62.632,,,301
302,Summit Academy Community School-Parma,302,Summit Academy Community School-Parma,Cuyahoga,Region 3,5868 Stumph Rd,"Parma, OH, 44130-1736",(440) 888-5407,Charlotte A. Ray,62.196,51.8,D,0,42.1,25.8,17.5,8.9,5.6,0,0,0,0,0,0,0,0,0,0,58.053,64.522,,,302
303,Summit Academy Secondary - Youngstown,303,Summit Academy Secondary - Youngstown,Mahoning,Region 5,2800 Shady Run Rd,"Youngstown, OH, 44502-2770",(234) 228-8235,Kevin L. Sheely,43.974,36.6,F,2.2,69.9,14,9.2,3.1,1.7,0,0,0,0,0,0,0,0,0,0,48.194,51.93,,,303
