Building IRN,Building Name,District IRN,District Name,County,Region,Open/Closed Status as of 9/12/2017,School Type,Student Group,Read 3rd Grade 2016-2017 % Proficient or above,Math 3rd Grade 2016-2017 % Proficient or above,Read 4th Grade 2016-2017 % Proficient or above,Math 4th Grade 2016-2017 % Proficient or above,Social Studies 4th Grade 2016-2017 % Proficient or above,Read 5th Grade 2016-2017 % Proficient or above,Math 5th Grade 2016-2017 % Proficient or above,Science 5th Grade 2016-2017 % Proficient or above,Read 6th Grade 2016-2017 % Proficient or above,Math 6th Grade 2016-2017 % Proficient or above,Social Studies 6th Grade 2016-2017 % Proficient or above,Read 7th Grade 2016-2017 % Proficient or above,Math 7th Grade 2016-2017 % Proficient or above,Read 8th Grade 2016-2017 % Proficient or above,Math 8th Grade 2016-2017 % Proficient or above,Science 8th Grade 2016-2017 % Proficient or above,History End of Course 2016-2017 % Proficient or Above,Government End of Course 2016-2017 % Proficient or Above,Physical Science End of Course 2016-2017 % Proficient or Above,English Language Arts I End of Course 2016-2017 % Proficient or Above,English Language Arts II End of Course 2016-2017 % Proficient or Above,Algebra I End of Course 2016-2017 % Proficient or Above,Geometry End of Course 2016-2017 % Proficient or Above,Integrated Math I End of Course 2016-2017 % Proficient or Above,Integrated Math II End of Course 2016-2017 % Proficient or Above,Biology End of Course 2016-2017 % Proficient or Above,Attendance rate 2016-2017,4-Year Longitudinal Graduation Rate - Class of 2016,5-Year Longitudinal Graduation Rate - Class of 2015,Enrollment,% of Total Enrollment,Watermark
000059,Ada Elementary School,045187,Ada Exempted Village,Hardin,Region 6,Open,Elementary School,Disadvantaged,77.4,80.6,87.5,84.4,>95.0,68.2,86.4,81.8,50.0,48.6,45.9,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,201,43.2,
000059,Ada Elementary School,045187,Ada Exempted Village,Hardin,Region 6,Open,Elementary School,NonDisadvantaged,92.3,87.2,86.7,>95.0,>95.0,93.5,90.3,90.3,77.1,80.0,91.4,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,>95.0,NC,NC,264,56.8,
000067,Ada High School,045187,Ada Exempted Village,Hardin,Region 6,Open,High School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,61.3,61.3,54.2,87.5,79.2,84.8,83.3,NC,72.7,72.2,51.6,56.0,NC,NC,75.0,92.6,78.9,92.3,155,39.7,
000067,Ada High School,045187,Ada Exempted Village,Hardin,Region 6,Open,High School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,74.2,71.0,55.6,86.4,91.7,>95.0,91.5,NC,93.6,72.5,85.1,62.9,NC,NC,89.6,94.7,>95.0,94.0,235,60.3,
000083,Sandusky Middle School,044743,Sandusky City,Erie,Region 2,Open,Middle School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,31.8,32.6,25.8,43.3,54.3,NC,NC,NC,NC,NC,>95.0,NC,NC,NC,NC,94.0,NC,NC,443,>95.0,
000083,Sandusky Middle School,044743,Sandusky City,Erie,Region 2,Open,Middle School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000102,Meigs Primary School,048520,Meigs Local,Meigs,Region 16,Open,Elementary School,Disadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,92.5,NC,NC,401,>95.0,
000102,Meigs Primary School,048520,Meigs Local,Meigs,Region 16,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
000105,Meigs Intermediate School,048520,Meigs Local,Meigs,Region 16,Open,Elementary School,Disadvantaged,39.7,39.0,49.6,56.3,75.6,50.8,36.7,43.0,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,93.6,NC,NC,401,>95.0,
000105,Meigs Intermediate School,048520,Meigs Local,Meigs,Region 16,Open,Elementary School,NonDisadvantaged,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
