city,date,fare,ride_id
Amandaburgh,3/5/2018 2:15,26.28,906850928986.00
Amandaburgh,2/24/2018 23:10,43.66,6573820412437.00
Amandaburgh,2/10/2018 20:42,36.17,6455620849753.00
Amandaburgh,1/11/2018 2:22,29.24,7279902884763.00
Amandaburgh,1/21/2018 4:12,9.26,5528427024492.00
Amandaburgh,4/19/2018 16:30,6.27,4400632718421.00
Amandaburgh,3/20/2018 7:40,27.45,3701008274871.00
Amandaburgh,4/1/2018 9:24,24.29,1995462170530.00
Amandaburgh,4/20/2018 2:16,16.27,3513123734716.00
Amandaburgh,3/13/2018 12:52,13.88,6222134922674.00
Amandaburgh,4/22/2018 21:34,42.52,1901157522591.00
Amandaburgh,2/6/2018 10:02,11.93,7550325158038.00
Amandaburgh,4/24/2018 8:02,14.55,7836117055007.00
Amandaburgh,4/5/2018 10:22,25.55,8581415267582.00
Amandaburgh,3/7/2018 2:26,18.76,3419454549176.00
Amandaburgh,1/2/2018 9:57,33.06,6330658179518.00
Amandaburgh,1/13/2018 16:04,23.35,9975084532253.00
Amandaburgh,1/29/2018 23:28,41.06,4296858665195.00
0,,443.55,18.00
Barajasview,1/15/2018 2:59,19.52,8268107272481.00
Barajasview,1/23/2018 13:23,37.68,4108452999906.00
Barajasview,2/8/2018 18:07,24.49,2612169071005.00
Barajasview,3/1/2018 11:06,28.25,7225827834994.00
Barajasview,2/19/2018 2:25,26.83,937248382509.00
Barajasview,4/15/2018 20:37,17.76,8098247711287.00
Barajasview,5/2/2018 21:02,17.12,4628923040888.00
Barajasview,4/9/2018 8:10,39.36,1801612492097.00
Barajasview,2/3/2018 9:58,39.39,9437995336707.00
Barajasview,3/12/2018 4:54,37.05,1829231979881.00
Barajasview,3/15/2018 22:44,28.3,1314271514395.00
Barajasview,3/19/2018 12:17,26.6,5623058981104.00
Barajasview,1/2/2018 23:23,36.13,8567191526174.00
Barajasview,1/14/2018 11:00,19.81,2376258275704.00
Barajasview,5/6/2018 1:06,17.63,9233210711447.00
Barajasview,4/3/2018 15:25,44.15,9596158245970.00
Barajasview,1/24/2018 5:58,9.21,1841073494391.00
Barajasview,3/24/2018 6:34,12.24,766512199846.00
Barajasview,4/18/2018 8:44,12.35,6122257582314.00
Barajasview,1/4/2018 9:32,12.25,1657106589275.00
Barajasview,3/29/2018 1:02,29.55,3838354230678.00
Barajasview,1/12/2018 23:20,21.64,3010027933226.00
Barronchester,1/27/2018 3:08,27.79,6653622887913.00
Barronchester,5/5/2018 4:03,30.38,2281522828169.00
Barronchester,4/25/2018 19:11,36.13,2660177707065.00
Barronchester,3/31/2018 6:05,44.24,1252888806772.00
Barronchester,3/2/2018 23:36,36.49,4031573980778.00
Barronchester,4/7/2018 14:43,21.95,9355805102444.00
